
-<enchantment:ebwizardry:freezing_weapon> - Frost Imbuement I (at level 1, max level 4, treasure: no, enchant id 68)
-<enchantment:cyclicmagic:enchantment.venom> - Venom I (at level 1, max level 2, treasure: no, enchant id 104)
-<enchantment:simplyjetpacks:fuel_efficiency> - Fuel Efficiency I (at level 1, max level 4, treasure: no, enchant id 109)
-<enchantment:tombstone:soulbound> - Tombstone Soulbound (at level 1, max level 1, treasure: no, enchant id 41)
-<enchantment:minecraft:protection> - Protection I (at level 1, max level 4, treasure: no, enchant id 0)
-<enchantment:aoa3:intervention> - Intervention (at level 1, max level 1, treasure: yes, enchant id 54)
-<enchantment:projectred-expansion:electric_efficiency> - Electric Efficiency I (at level 1, max level 4, treasure: no, enchant id 36)
-<enchantment:cyclicmagic:enchantment.expboost> - Experience Boost I (at level 1, max level 3, treasure: no, enchant id 106)
-<enchantment:minecraft:luck_of_the_sea> - Luck of the Sea I (at level 1, max level 3, treasure: no, enchant id 61)
-<enchantment:cyclicmagic:enchantment.magnet> - Magnet I (at level 1, max level 3, treasure: no, enchant id 100)
-<enchantment:minecraft:flame> - Flame (at level 1, max level 1, treasure: no, enchant id 50)
-<enchantment:minecraft:feather_falling> - Feather Falling I (at level 1, max level 4, treasure: no, enchant id 2)
-<enchantment:cofhcore:insight> - Insight I (at level 1, max level 3, treasure: no, enchant id 88)
-<enchantment:railcraft:destruction> - Destruction I (at level 1, max level 3, treasure: no, enchant id 14)
-<enchantment:minecraft:binding_curse> - Curse of Binding (at level 1, max level 1, treasure: yes, enchant id 10)
-<enchantment:abyssalcraft:multi_rend> - Multi-rend (at level 1, max level 1, treasure: no, enchant id 86)
-<enchantment:minecraft:projectile_protection> - Projectile Protection I (at level 1, max level 4, treasure: no, enchant id 4)
-<enchantment:minecraft:smite> - Smite I (at level 1, max level 5, treasure: no, enchant id 17)
-<enchantment:aoa3:sever> - Sever I (at level 1, max level 5, treasure: no, enchant id 56)
-<enchantment:aoa3:brace> - Brace (at level 1, max level 1, treasure: no, enchant id 53)
-<enchantment:abyssalcraft:coralium> - Coralium (at level 1, max level 1, treasure: no, enchant id 81)
-<enchantment:cofhcore:soulbound> - Soulbound I (at level 1, max level 3, treasure: no, enchant id 93)
-<enchantment:ebwizardry:magic_protection> - Magic Protection I (at level 1, max level 4, treasure: no, enchant id 69)
-<enchantment:enderio:witherweapon> - Decay (at level 1, max level 1, treasure: no, enchant id 46)
-<enchantment:extrautils2:xu.burnerang> - Burnerang (at level 1, max level 1, treasure: no, enchant id 25)
-<enchantment:tombstone:magic_siphon> - Magic Siphon I (at level 1, max level 5, treasure: no, enchant id 42)
-<enchantment:enderio:soulbound> - Soulbound (at level 1, max level 1, treasure: no, enchant id 45)
-<enchantment:minecraft:unbreaking> - Unbreaking I (at level 1, max level 3, treasure: no, enchant id 34)
-<enchantment:cofhcore:multishot> - Multishot I (at level 1, max level 4, treasure: no, enchant id 90)
-<enchantment:openblocks:last_stand> - Last Stand I (at level 1, max level 2, treasure: no, enchant id 30)
-<enchantment:cofhcore:vorpal> - Vorpal I (at level 1, max level 3, treasure: no, enchant id 94)
-<enchantment:ebwizardry:frost_protection> - Frost Protection I (at level 1, max level 4, treasure: no, enchant id 72)
-<enchantment:extrautils2:xu.boomereaperang> - Boomereaperang (at level 1, max level 1, treasure: no, enchant id 27)
-<enchantment:cyclicmagic:enchantment.lifeleech> - Life Leech I (at level 1, max level 2, treasure: no, enchant id 99)
-<enchantment:extrautils2:xu.bladerang> - Bladerang I (at level 1, max level 5, treasure: no, enchant id 26)
-<enchantment:railcraft:wrecking> - Wrecking I (at level 1, max level 5, treasure: no, enchant id 12)
-<enchantment:minecraft:fire_protection> - Fire Protection I (at level 1, max level 4, treasure: no, enchant id 1)
-<enchantment:abyssalcraft:sapping> - Sapping I (at level 1, max level 3, treasure: no, enchant id 85)
-<enchantment:minecraft:power> - Power I (at level 1, max level 5, treasure: no, enchant id 48)
-<enchantment:bibliocraft:bibliocraft.readingench> - Reading (at level 1, max level 1, treasure: no, enchant id 76)
-<enchantment:cyclicmagic:enchantment.waterwalking> - Waterwalking (at level 1, max level 1, treasure: no, enchant id 105)
-<enchantment:cyclicmagic:enchantment.reach> - Block Reach (at level 1, max level 1, treasure: no, enchant id 103)
-<enchantment:tombstone:shadow_step> - Shadow Step I (at level 1, max level 5, treasure: no, enchant id 40)
-<enchantment:advancedrocketry:spacebreathing> - Airtight Seal (at level 1, max level 1, treasure: no, enchant id 37)
-<enchantment:cofhcore:smelting> - Smelting (at level 1, max level 1, treasure: no, enchant id 92)
-<enchantment:cofhcore:holding> - Holding I (at level 1, max level 4, treasure: no, enchant id 87)
-<enchantment:enderio:shimmer> - Shimmer (at level 1, max level 1, treasure: yes, enchant id 52)
-<enchantment:minecraft:blast_protection> - Blast Protection I (at level 1, max level 4, treasure: no, enchant id 3)
-<enchantment:minecraft:bane_of_arthropods> - Bane of Arthropods I (at level 1, max level 5, treasure: no, enchant id 18)
-<enchantment:endercore:xpboost> - XP Boost I (at level 1, max level 3, treasure: no, enchant id 38)
-<enchantment:minecraft:silk_touch> - Silk Touch (at level 1, max level 1, treasure: no, enchant id 33)
-<enchantment:minecraft:looting> - Looting I (at level 1, max level 3, treasure: no, enchant id 21)
-<enchantment:extrautils2:xu.zoomerang> - Zoomerang I (at level 1, max level 3, treasure: no, enchant id 24)
-<enchantment:abyssalcraft:dread> - Dread (at level 1, max level 1, treasure: no, enchant id 82)
-<enchantment:randomthings:magnetic> - Magnetic (at level 1, max level 1, treasure: no, enchant id 28)
-<enchantment:minecraft:respiration> - Respiration I (at level 1, max level 3, treasure: no, enchant id 5)
-<enchantment:ebwizardry:magic_bow> - Imbuement I (at level 1, max level 4, treasure: no, enchant id 66)
-<enchantment:cyclicmagic:enchantment.excavation> - Excavation I (at level 1, max level 3, treasure: no, enchant id 97)
-<enchantment:abyssalcraft:iron_wall> - Iron Wall (at level 1, max level 1, treasure: no, enchant id 84)
-<enchantment:ebwizardry:flaming_weapon> - Fire Imbuement I (at level 1, max level 4, treasure: no, enchant id 67)
-<enchantment:aoa3:shell> - Shell I (at level 1, max level 3, treasure: no, enchant id 59)
-<enchantment:minecraft:infinity> - Infinity (at level 1, max level 1, treasure: no, enchant id 51)
